brand,model,year,mileage,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,avg_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,extras,interior_color,exterior_color,price
Honda,Accord Crosstour EX-L,2010.0,173228.0,3.5,Automatic,1.0,Gasoline,Front-wheel Drive,4.5,1.0,0.0,1.0,0.0,1.0,8.0,Black,White,9495
Ford,Explorer XLT,2021.0,30634.0,2.3,10,1.0,Gasoline,Four-wheel Drive,3.5,0.0,1.0,1.0,1.0,1.0,10.0,Light Slate,Star White,37546
FIAT,500L Trekking,2014.0,43896.0,1.4,6,0.0,Gasoline,Front-wheel Drive,4.0,0.0,1.0,0.0,1.0,1.0,4.0,Black,Giallo (Yellow),12745
Jeep,Cherokee Overland,2018.0,71362.0,3.2,9,1.0,Gasoline,Four-wheel Drive,2.5,0.0,0.0,0.0,0.0,1.0,9.0,Black,Bright White Clearcoat,27490
BMW,M340 i,2022.0,2437.0,3.0,8,1.0,Gasoline,Rear-wheel Drive,4.5,0.0,1.0,1.0,1.0,1.0,9.0,Canberra Beige,Mineral White Metallic,53500
Toyota,Tundra Grade,2011.0,90460.0,5.7,Automatic,1.0,Gasoline,Four-wheel Drive,2.0,0.0,1.0,1.0,0.0,1.0,8.0,Sand Beige,Black,21990
Maserati,Levante GranLusso,2019.0,26756.0,3.0,8,1.0,Gasoline,Four-wheel Drive,4.0,0.0,1.0,1.0,1.0,1.0,7.0,Beige,Bianco,51830
Lexus,NX 200t Base,2015.0,152520.0,2.0,6,1.0,Gasoline,Four-wheel Drive,3.0,0.0,0.0,0.0,1.0,1.0,8.0,Black,Beige,17390
Jaguar,F-PACE S,2019.0,36140.0,3.0,8,1.0,Gasoline,Four-wheel Drive,3.5,0.0,1.0,0.0,0.0,1.0,7.0,Ebony,Santorini Black Metallic,46998
Porsche,Cayenne Turbo S,2018.0,51779.0,4.8,Automatic,1.0,Gasoline,Four-wheel Drive,2.5,0.0,1.0,0.0,0.0,1.0,10.0,Luxor Beige,White,73895
Chevrolet,Silverado 1500 2LT,2014.0,64099.0,5.3,Automatic,1.0,Gasoline,Four-wheel Drive,3.0,0.0,0.0,1.0,0.0,1.0,6.0,Jet Black/Dark Ash,Black,21999
Alfa,Romeo Stelvio Ti,2018.0,54408.0,2.0,8,1.0,Gasoline,Four-wheel Drive,3.0,0.0,0.0,1.0,1.0,1.0,8.0,Black,Silverstone Gray Metallic,26788
Mitsubishi,Outlander Sport ES,2021.0,34159.0,2.0,CVT,1.0,Gasoline,Four-wheel Drive,3.0,1.0,0.0,0.0,0.0,0.0,3.0,Black,Diamond White Pearl,18980
Mercedes-Benz,CLS 450 Base,2020.0,19955.0,3.0,9,1.0,Gasoline,Rear-wheel Drive,5.0,0.0,1.0,1.0,1.0,1.0,10.0,Black,Selenite Gray Metallic,55551
Toyota,Tundra SR5,2022.0,3376.0,3.5,10,1.0,Gasoline,Rear-wheel Drive,2.5,0.0,1.0,0.0,1.0,1.0,8.0,Black,White,42990
Audi,A7 3.0T Prestige,2018.0,69419.0,3.0,8,1.0,Gasoline,Four-wheel Drive,4.5,1.0,0.0,1.0,0.0,1.0,10.0,Black,Tornado Gray Metallic,31796
Land,Rover LR4 HSE,2012.0,117000.0,5.0,6,0.0,Gasoline,Four-wheel Drive,2.5,1.0,0.0,1.0,0.0,1.0,9.0,Beige,White,14500
Nissan,Frontier Desert Runner,2016.0,54644.0,4.0,5,1.0,Gasoline,Rear-wheel Drive,2.5,1.0,0.0,1.0,0.0,1.0,2.0,Steel,Magnetic Black,20494
Lexus,RX 350 F Sport,2019.0,51422.0,3.5,8,1.0,Gasoline,Four-wheel Drive,4.0,0.0,0.0,1.0,0.0,1.0,8.0,Rioja Red,Caviar,38789
Jeep,Wrangler Unlimited Sahara,2019.0,37110.0,2.0,8,1.0,Gasoline,Four-wheel Drive,2.5,0.0,1.0,0.0,1.0,1.0,8.0,Black,Bright White Clearcoat,39500
Volkswagen,Taos 1.5T SE,2022.0,14625.0,1.5,7,1.0,Gasoline,Four-wheel Drive,3.5,0.0,1.0,1.0,1.0,1.0,10.0,Black,Pure White,29000
Jaguar,F-TYPE R,2016.0,30374.0,5.0,8,1.0,Gasoline,Four-wheel Drive,3.5,1.0,0.0,1.0,0.0,1.0,8.0,Jet /J et,Polaris White,53900
Lexus,IS 250 Base,2014.0,54397.0,2.5,6,1.0,Gasoline,Four-wheel Drive,1.5,1.0,1.0,1.0,0.0,1.0,8.0,Parchment,Starfire Pearl,25490
Toyota,Tundra Platinum,2018.0,79893.0,5.7,6,1.0,Gasoline,Four-wheel Drive,2.0,0.0,1.0,1.0,0.0,1.0,9.0,Black,Silver Sky Metallic,40990
Honda,Pilot Touring 8-Passenger,2020.0,51639.0,3.5,9,1.0,Gasoline,Four-wheel Drive,3.5,0.0,1.0,1.0,0.0,1.0,14.0,Black,Crystal Black Pearl,36327
Jaguar,XF S,2016.0,69226.0,3.0,Automatic,1.0,Gasoline,Rear-wheel Drive,4.0,1.0,0.0,1.0,0.0,1.0,8.0,Jet / Light Oyster,Glacier White,24998
