"brand","model","year","mileage","engine_size","drivetrain","avg_mpg","damaged","first_owner","extras","price"
"Toyota","Highlander Platinum",2021,26553,3.5,"Four-wheel Drive",3.5,0,1,13,46479
"Volvo","S60 Recharge Plug-In Hybrid T8 Inscription",2022,12463,2,"Four-wheel Drive",5.5,0,1,11,47322
"Honda","Pilot Touring",2023,1820,3.5,"Four-wheel Drive",3,0,0,13,50988
"Maserati","Levante S",2017,78350,3,"Four-wheel Drive",4.5,0,0,7,36995
"Volvo","XC90 T6 Momentum 6 Passenger",2020,25501,2,"Four-wheel Drive",5,1,1,13,42065
"Mitsubishi","Outlander GT",2018,57605,3,"Four-wheel Drive",3,0,0,10,20980
"Jaguar","XF 35t Prestige",2016,105229,3,"Four-wheel Drive",4.5,1,0,10,21995
"Land","Rover Discovery SE",2019,36915,3,"Four-wheel Drive",2.5,0,1,8,40505
"Audi","Q3 40 Premium",2021,57701,2,"Four-wheel Drive",4,0,0,10,26445
"Mazda","CX-9 Carbon Edition",2023,4314,2.5,"Four-wheel Drive",5,0,1,0,40341
"Toyota","4Runner TRD Off Road Premium",2019,57608,4,"Four-wheel Drive",1.5,0,1,8,41995
"Mazda","CX-50 2.5 Turbo Premium Plus Package",2023,9936,2.5,"Four-wheel Drive",3,0,1,8,39609
"Land","Rover Range Rover 3.0L V6 Supercharged",2019,42733,3,"Four-wheel Drive",2.5,0,1,10,58880
"Kia","Optima SX",2013,74903,2,"Front-wheel Drive",3.5,0,0,9,16995
"Alfa","Romeo Stelvio Ti",2020,33146,2,"Four-wheel Drive",3,0,0,8,32299
"Mazda","CX-9 Carbon Edition",2023,5788,2.5,"Four-wheel Drive",2.5,0,0,10,42887
"Maserati","Ghibli S Q4",2018,41996,3,"Four-wheel Drive",3,0,0,10,35495
"Audi","A4 allroad 2.0T Premium",2017,43936,2,"Four-wheel Drive",2.5,1,1,8,27992
"Cadillac","XT5 Premium Luxury",2022,10998,3.6,"Four-wheel Drive",4,0,0,9,49999
"Volvo","XC90 T6 Inscription 7 Passenger",2020,29409,2,"Four-wheel Drive",3,1,1,13,43750
"Toyota","4Runner Limited",2021,20438,4,"Four-wheel Drive",1.5,0,1,10,48997
"Porsche","Panamera E-Hybrid 4",2018,94761,2.9,"Four-wheel Drive",2,0,1,10,51944
"Mercedes-Benz","SL-Class SL 400",2015,57300,3,"Rear-wheel Drive",4,0,0,6,38980
"Nissan","Xterra S",2014,63895,4,"Four-wheel Drive",1,0,0,2,21995
"Jeep","Grand Cherokee Altitude",2020,33025,3.6,"Four-wheel Drive",2.5,0,1,9,34998
"Jaguar","F-PACE 30t Premium",2018,83782,2,"Four-wheel Drive",2.5,0,0,9,23983
"BMW","535 i",2015,93330,3,"Rear-wheel Drive",5.5,1,0,7,17881
"Volkswagen","Tiguan 2.0T S",2021,30315,2,"Four-wheel Drive",3.5,1,1,6,22983
"Alfa","Romeo Stelvio Base",2019,18249,2,"Rear-wheel Drive",4,0,1,10,26995
"Mitsubishi","Outlander ES",2011,84626,2.4,"Front-wheel Drive",3,1,1,1,9499
"Jeep","Grand Cherokee Overland",2022,7419,3.6,"Four-wheel Drive",3.5,0,0,6,53878
"Land","Rover Range Rover Sport 3.0L Supercharged HSE",2019,47363,3,"Four-wheel Drive",2,0,0,9,50990
"Mitsubishi","Outlander SEL",2020,62192,2.4,"Four-wheel Drive",3,1,1,9,17999
"Ford","Focus ST Base",2018,60000,2,"Front-wheel Drive",4,0,0,5,22500
"Jaguar","XF 20d R-Sport",2017,32496,2,"Four-wheel Drive",2.5,0,0,10,30998
"Honda","Pilot EX-L",2019,16810,3.5,"Four-wheel Drive",4,0,1,13,32899
"Audi","Q8 55 Premium",2020,9137,3,"Four-wheel Drive",2,0,1,6,64998
"Mitsubishi","Mirage G4 SE",2020,15767,1.2,"Front-wheel Drive",3,0,1,7,15480
"Mercedes-Benz","GLE 350 Base 4MATIC",2020,40074,2,"Four-wheel Drive",3.5,0,1,10,42288
"Jeep","Grand Cherokee Altitude",2015,79089,3.6,"Four-wheel Drive",2,0,0,11,21995
"Mazda","CX-5 2.5 S Premium Plus Package",2022,1849,2.5,"Four-wheel Drive",3,0,1,11,32994
"Volvo","XC90 T6 Momentum 7 Passenger",2021,17844,2,"Four-wheel Drive",4.5,0,0,12,45990
"Honda","Accord Hybrid EX-L",2022,40346,2,"Front-wheel Drive",0.5,0,1,13,33384
"Honda","Civic Type R Touring",2021,20192,2,"Front-wheel Drive",3,0,0,10,43995
"Honda","Pilot Sport",2022,3287,3.5,"Four-wheel Drive",3.5,0,1,7,38810
"Volkswagen","Passat 2.0T R-Line",2022,16528,2,"Front-wheel Drive",3.5,1,1,9,27500
"FIAT","500X Trekking",2018,66000,2.4,"Four-wheel Drive",4,0,1,7,19995
"Honda","Pilot EX",2020,51662,3.5,"Four-wheel Drive",4,1,1,9,30255
"BMW","X5 xDrive40i",2019,21294,3,"Four-wheel Drive",3,0,1,11,47995
"Toyota","GR86 Base",2023,5892,2.4,"Rear-wheel Drive",5,0,0,1,34582
"Hyundai","Palisade Limited",2020,9634,3.8,"Four-wheel Drive",5,0,1,13,48920
"Mazda","CX-3 Sport",2020,19950,2,"Front-wheel Drive",3,0,1,7,20449
